name:en_aa,name:en_var,type_var,2014
Barbados,Average kerosene prices,ind,0.0
Barbados,Average diesel prices,ind,0.0
Barbados,Growth rate of power demand,ind,0.0
Barbados,Electrification rate,ind,0.002
Barbados,Population using solid fuels for cooking,ind,0.0
Barbados,Financing and Investments,param,0.88
Barbados,Clean energy investments,ind,0.002
Barbados,Growth rate of clean energy investments,ind,0.0
Barbados,Asset finance investments,ind,0.0
Barbados,Corporate finance investments,ind,0.0
Barbados,VC/PE investments,ind,0.0
Barbados,"Loans, grants, grant programs",ind,0.15
Barbados,Local investments,ind,0.0
Barbados,Number of Green MFI,ind,0.0
Barbados,Green micro-loans,ind,0.0
Barbados,Green micro-borrowers,ind,0.0
Barbados,Average cost of green micro debt,ind,0.0
Barbados,Average cost of debt,ind,0.062
Barbados,Swap rate,ind,0.05
Barbados,Value chains,param,0.885
Barbados,Financial institutions in clean energy,ind,0.075
Barbados,Value chains by clean energy sector,ind,0.03
Barbados,Distributed clean energy value chains by sector,ind,0.0
Barbados,Clean energy service providers,ind,0.028
Barbados,Distributed clean energy service providers,ind,0.0
Barbados,GHG management,param,0.562
Barbados,Carbon offsets historical activity,ind,0.0
Barbados,CDM risk,ind,0.0
Barbados,Carbon offsets future potential,ind,0.0
Barbados,GHG emissions reduction target,ind,0.0
Barbados,GHG country registry,ind,0.0
Barbados,GHG market-based instruments,ind,0.0
Barbados,PMR & NAMA,ind,0.009
Barbados,Voluntary GHG reporting by corporates,ind,0.0
Barbados,Investor pressure – PRI signatories,ind,0.0
Barbados,Corporate energy efficiency initiatives,ind,0.0
Barbados,Corporate emission reduction policies,ind,0.0
Barbados,Capacity building – env. business training,ind,0.038
Barbados,Capacity building – think tanks,ind,0.038
Bangladesh,Score,score,1.353
Bangladesh,Enabling framework,param,1.23
Bangladesh,Clean energy policies,ind,0.065
Bangladesh,Power sector structure,ind,0.167
Bangladesh,Distributed energy regulatory framework,ind,0.058
Bangladesh,Clean energy rural electrification,ind,0.04
Bangladesh,Energy access policies,ind,0.06
Bangladesh,Policy barriers,ind,0.005
Bangladesh,Clean energy installed capacity,ind,0.0
Bangladesh,Growth rate of installed capacity,ind,0.0
Bangladesh,Clean energy electricity generation,ind,0.0
Bangladesh,Growth rate of electricity generation,ind,0.0
Bangladesh,Biofuels production,ind,0.0
Bangladesh,Growth rate biofuels production,ind,0.0
Bangladesh,Average electricity spot prices,ind,0.014
Bangladesh,Average retail electricity prices,ind,0.009
Bangladesh,Average residential electricity prices,ind,0.0
Bangladesh,Average commercial electricity prices,ind,0.0
Bangladesh,Average industrial electricity prices,ind,0.0
Bangladesh,Average kerosene prices,ind,0.021
Bangladesh,Average diesel prices,ind,0.018
Bangladesh,Growth rate of power demand,ind,0.013
Bangladesh,Electrification rate,ind,0.003
Bangladesh,Population using solid fuels for cooking,ind,0.018
Bangladesh,Financing and Investments,param,0.964
Bangladesh,Clean energy investments,ind,0.0
Bangladesh,Growth rate of clean energy investments,ind,0.0
Bangladesh,Asset finance investments,ind,0.0
Bangladesh,Corporate finance investments,ind,0.0
Bangladesh,VC/PE investments,ind,0.0
Bangladesh,"Loans, grants, grant programs",ind,0.009
Bangladesh,Local investments,ind,0.0
Bangladesh,Number of Green MFI,ind,0.078
Bangladesh,Green micro-loans,ind,0.058
Bangladesh,Green micro-borrowers,ind,0.024
Bangladesh,Average cost of green micro debt,ind,0.007
Bangladesh,Average cost of debt,ind,0.042
Bangladesh,Swap rate,ind,0.07
Bangladesh,Value chains,param,2.571
Bangladesh,Financial institutions in clean energy,ind,0.09
Bangladesh,Value chains by clean energy sector,ind,0.02
Bangladesh,Distributed clean energy value chains by sector,ind,0.094
Bangladesh,Clean energy service providers,ind,0.075
Bangladesh,Distributed clean energy service providers,ind,0.107
Bangladesh,GHG management,param,0.657
Bangladesh,Carbon offsets historical activity,ind,0.0
Bangladesh,CDM risk,ind,0.012
Bangladesh,Carbon offsets future potential,ind,0.006
Bangladesh,GHG emissions reduction target,ind,0.0
Bangladesh,GHG country registry,ind,0.0
Bangladesh,GHG market-based instruments,ind,0.0
Bangladesh,PMR & NAMA,ind,0.0
Bangladesh,Voluntary GHG reporting by corporates,ind,0.004
Bangladesh,Investor pressure – PRI signatories,ind,0.0
Bangladesh,Corporate energy efficiency initiatives,ind,0.0
Bangladesh,Corporate emission reduction policies,ind,0.001
Bangladesh,Capacity building – env. business training,ind,0.038
Bangladesh,Capacity building – think tanks,ind,0.038
Bolivia,Score,score,0.915
Bolivia,Enabling framework,param,0.649
Bolivia,Clean energy policies,ind,0.0
Bolivia,Power sector structure,ind,0.081
Bolivia,Distributed energy regulatory framework,ind,0.0
Bolivia,Clean energy rural electrification,ind,0.04
Bolivia,Energy access policies,ind,0.0
Bolivia,Policy barriers,ind,0.005
Bolivia,Clean energy installed capacity,ind,0.048
Bolivia,Growth rate of installed capacity,ind,0.0
Bolivia,Clean energy electricity generation,ind,0.033
Bolivia,Growth rate of electricity generation,ind,0.0
Bolivia,Biofuels production,ind,0.0
Bolivia,Growth rate biofuels production,ind,0.0
Bolivia,Average electricity spot prices,ind,0.008
Bolivia,Average retail electricity prices,ind,0.016
Bolivia,Average residential electricity prices,ind,0.0
Bolivia,Average commercial electricity prices,ind,0.0
Bolivia,Average industrial electricity prices,ind,0.0
Bolivia,Average kerosene prices,ind,0.0
Bolivia,Average diesel prices,ind,0.0
Bolivia,Growth rate of power demand,ind,0.026
Bolivia,Electrification rate,ind,0.002
Bolivia,Population using solid fuels for cooking,ind,0.0
Bolivia,Financing and Investments,param,1.097
Bolivia,Clean energy investments,ind,0.0
Bolivia,Growth rate of clean energy investments,ind,0.0
Bolivia,Asset finance investments,ind,0.0
Bolivia,Corporate finance investments,ind,0.0
Bolivia,VC/PE investments,ind,0.0
Bolivia,"Loans, grants, grant programs",ind,0.075
Bolivia,Local investments,ind,0.006
Bolivia,Number of Green MFI,ind,0.104
Bolivia,Green micro-loans,ind,0.0
Bolivia,Green micro-borrowers,ind,0.003
Bolivia,Average cost of green micro debt,ind,0.005
Bolivia,Average cost of debt,ind,0.049
Bolivia,Swap rate,ind,0.088
Bolivia,Value chains,param,0.826
Bolivia,Financial institutions in clean energy,ind,0.075
Bolivia,Value chains by clean energy sector,ind,0.039
Bolivia,Distributed clean energy value chains by sector,ind,0.0
Bolivia,Clean energy service providers,ind,0.009
Bolivia,Distributed clean energy service providers,ind,0.0
Bolivia,GHG management,param,1.332
Bolivia,Carbon offsets historical activity,ind,0.075
Bolivia,CDM risk,ind,0.0
Bolivia,Carbon offsets future potential,ind,0.023
Bolivia,GHG emissions reduction target,ind,0.0
Bolivia,GHG country registry,ind,0.0
Bolivia,GHG market-based instruments,ind,0.0
Bolivia,PMR & NAMA,ind,0.0
Bolivia,Voluntary GHG reporting by corporates,ind,0.027
Bolivia,Investor pressure – PRI signatories,ind,0.0
Bolivia,Corporate energy efficiency initiatives,ind,0.0
Bolivia,Corporate emission reduction policies,ind,0.0
Bolivia,Capacity building – env. business training,ind,0.038
Bolivia,Capacity building – think tanks,ind,0.038
Brazil,Score,score,2.133
Brazil,Enabling framework,param,2.136
Brazil,Clean energy policies,ind,0.269
Brazil,Power sector structure,ind,0.169
Brazil,Distributed energy regulatory framework,ind,0.0
Brazil,Clean energy rural electrification,ind,0.04
Brazil,Energy access policies,ind,0.0
Brazil,Policy barriers,ind,0.002
Brazil,Clean energy installed capacity,ind,0.039
Brazil,Growth rate of installed capacity,ind,0.0
Brazil,Clean energy electricity generation,ind,0.014
Brazil,Growth rate of electricity generation,ind,0.0
Brazil,Biofuels production,ind,0.08
Brazil,Growth rate biofuels production,ind,0.08
Brazil,Average electricity spot prices,ind,0.1
Brazil,Average retail electricity prices,ind,0.023
Brazil,Average residential electricity prices,ind,0.0
Brazil,Average commercial electricity prices,ind,0.0
Brazil,Average industrial electricity prices,ind,0.0
Brazil,Average kerosene prices,ind,0.0
Brazil,Average diesel prices,ind,0.0
Brazil,Growth rate of power demand,ind,0.035
Brazil,Electrification rate,ind,0.002
Brazil,Population using solid fuels for cooking,ind,0.0
Brazil,Financing and Investments,param,0.574
Brazil,Clean energy investments,ind,0.046
Brazil,Growth rate of clean energy investments,ind,0.02
Brazil,Asset finance investments,ind,0.0
Brazil,Corporate finance investments,ind,0.0
Brazil,VC/PE investments,ind,0.0
Brazil,"Loans, grants, grant programs",ind,0.002
Brazil,Local investments,ind,0.024
Brazil,Number of Green MFI,ind,0.013
Brazil,Green micro-loans,ind,0.0
Brazil,Green micro-borrowers,ind,0.0
Brazil,Average cost of green micro debt,ind,0.017
Brazil,Average cost of debt,ind,0.02
Brazil,Swap rate,ind,0.032
Brazil,Value chains,param,4.408
Brazil,Financial institutions in clean energy,ind,0.188
Brazil,Value chains by clean energy sector,ind,0.286
Brazil,Distributed clean energy value chains by sector,ind,0.0
Brazil,Clean energy service providers,ind,0.188
Brazil,Distributed clean energy service providers,ind,0.0
Brazil,GHG management,param,3.237
Brazil,Carbon offsets historical activity,ind,0.075
Brazil,CDM risk,ind,0.05
Brazil,Carbon offsets future potential,ind,0.029
Brazil,GHG emissions reduction target,ind,0.094
Brazil,GHG country registry,ind,0.056
Brazil,GHG market-based instruments,ind,0.0
Brazil,PMR & NAMA,ind,0.028
Brazil,Voluntary GHG reporting by corporates,ind,0.013
Brazil,Investor pressure – PRI signatories,ind,0.038
Brazil,Corporate energy efficiency initiatives,ind,0.014
Brazil,Corporate emission reduction policies,ind,0.014
Brazil,Capacity building – env. business training,ind,0.038
Brazil,Capacity building – think tanks,ind,0.038
Bahamas,Score,score,0.527
Bahamas,Enabling framework,param,0.466
Bahamas,Clean energy policies,ind,0.0
Bahamas,Power sector structure,ind,0.04
Bahamas,Distributed energy regulatory framework,ind,0.0
Bahamas,Clean energy rural electrification,ind,0.0
Bahamas,Energy access policies,ind,0.0
Bahamas,Policy barriers,ind,0.001
Bahamas,Clean energy installed capacity,ind,0.0
Bahamas,Growth rate of installed capacity,ind,0.0
Bahamas,Clean energy electricity generation,ind,0.0
Bahamas,Growth rate of electricity generation,ind,0.0
Bahamas,Biofuels production,ind,0.0
Bahamas,Growth rate biofuels production,ind,0.0
Bahamas,Average electricity spot prices,ind,0.0
Bahamas,Average retail electricity prices,ind,0.144
Bahamas,Average residential electricity prices,ind,0.0
Bahamas,Average commercial electricity prices,ind,0.0
Bahamas,Average industrial electricity prices,ind,0.0
Bahamas,Average kerosene prices,ind,0.0
Bahamas,Average diesel prices,ind,0.0
Bahamas,Growth rate of power demand,ind,0.0
Bahamas,Electrification rate,ind,0.002
Bahamas,Population using solid fuels for cooking,ind,0.0
Bahamas,Financing and Investments,param,0.64
Bahamas,Clean energy investments,ind,0.0
Bahamas,Growth rate of clean energy investments,ind,0.0
Bahamas,Asset finance investments,ind,0.0
Bahamas,Corporate finance investments,ind,0.0
Bahamas,VC/PE investments,ind,0.0
Bahamas,"Loans, grants, grant programs",ind,0.0
Bahamas,Local investments,ind,0.0
Bahamas,Number of Green MFI,ind,0.0
Bahamas,Green micro-loans,ind,0.0
Bahamas,Green micro-borrowers,ind,0.0
Bahamas,Average cost of green micro debt,ind,0.0
Bahamas,Average cost of debt,ind,0.114
Bahamas,Swap rate,ind,0.078
Bahamas,Value chains,param,0.576
Bahamas,Financial institutions in clean energy,ind,0.038
Bahamas,Value chains by clean energy sector,ind,0.039
Bahamas,Distributed clean energy value chains by sector,ind,0.0
Bahamas,Clean energy service providers,ind,0.009
Bahamas,Distributed clean energy service providers,ind,0.0
Bahamas,GHG management,param,0.417
Bahamas,Carbon offsets historical activity,ind,0.0
Bahamas,CDM risk,ind,0.025
Bahamas,Carbon offsets future potential,ind,0.0
Bahamas,GHG emissions reduction target,ind,0.0
Bahamas,GHG country registry,ind,0.0
Bahamas,GHG market-based instruments,ind,0.0
Bahamas,PMR & NAMA,ind,0.0
Bahamas,Voluntary GHG reporting by corporates,ind,0.0
Bahamas,Investor pressure – PRI signatories,ind,0.0
Bahamas,Corporate energy efficiency initiatives,ind,0.0
Bahamas,Corporate emission reduction policies,ind,0.0
Bahamas,Capacity building – env. business training,ind,0.0
Bahamas,Capacity building – think tanks,ind,0.038
Botswana,Score,score,0.614
Botswana,Enabling framework,param,0.77
Botswana,Clean energy policies,ind,0.025
Botswana,Power sector structure,ind,0.035
Botswana,Distributed energy regulatory framework,ind,0.022
Botswana,Clean energy rural electrification,ind,0.04
Botswana,Energy access policies,ind,0.049
Botswana,Policy barriers,ind,0.023
Botswana,Clean energy installed capacity,ind,0.001
Botswana,Growth rate of installed capacity,ind,0.0
Botswana,Clean energy electricity generation,ind,0.001
Botswana,Growth rate of electricity generation,ind,0.0
Botswana,Biofuels production,ind,0.001
Botswana,Growth rate biofuels production,ind,0.0
Botswana,Average electricity spot prices,ind,0.0
Botswana,Average retail electricity prices,ind,0.045
Botswana,Average residential electricity prices,ind,0.0
Botswana,Average commercial electricity prices,ind,0.0
Botswana,Average industrial electricity prices,ind,0.0
Botswana,Average kerosene prices,ind,0.023
Botswana,Average diesel prices,ind,0.017
Botswana,Growth rate of power demand,ind,0.016
Botswana,Electrification rate,ind,0.003
Botswana,Population using solid fuels for cooking,ind,0.008
Botswana,Financing and Investments,param,0.302
Botswana,Clean energy investments,ind,0.001
Botswana,Growth rate of clean energy investments,ind,0.0
Botswana,Asset finance investments,ind,0.0
Botswana,Corporate finance investments,ind,0.0
Botswana,VC/PE investments,ind,0.0
Botswana,"Loans, grants, grant programs",ind,0.0
Botswana,Local investments,ind,0.0
Botswana,Number of Green MFI,ind,0.0
Botswana,Green micro-loans,ind,0.0
Botswana,Green micro-borrowers,ind,0.0
Botswana,Average cost of green micro debt,ind,0.0
Botswana,Average cost of debt,ind,0.053
Botswana,Swap rate,ind,0.037
Botswana,Value chains,param,1.099
Botswana,Financial institutions in clean energy,ind,0.03
Botswana,Value chains by clean energy sector,ind,0.008
Botswana,Distributed clean energy value chains by sector,ind,0.019
Botswana,Clean energy service providers,ind,0.022
Botswana,Distributed clean energy service providers,ind,0.086
Botswana,GHG management,param,0.393
Botswana,Carbon offsets historical activity,ind,0.0
Botswana,CDM risk,ind,0.0
Botswana,Carbon offsets future potential,ind,0.017
Botswana,GHG emissions reduction target,ind,0.0
Botswana,GHG country registry,ind,0.0
Botswana,GHG market-based instruments,ind,0.0
Botswana,PMR & NAMA,ind,0.0
Botswana,Voluntary GHG reporting by corporates,ind,0.0
Botswana,Investor pressure – PRI signatories,ind,0.027
Botswana,Corporate energy efficiency initiatives,ind,0.007
Botswana,Corporate emission reduction policies,ind,0.008
Botswana,Capacity building – env. business training,ind,0.0
Botswana,Capacity building – think tanks,ind,0.0
Belize,Score,score,0.977
Belize,Enabling framework,param,1.308
Belize,Clean energy policies,ind,0.049
Belize,Power sector structure,ind,0.052
Belize,Distributed energy regulatory framework,ind,0.0
Belize,Clean energy rural electrification,ind,0.0
Belize,Energy access policies,ind,0.0
Belize,Policy barriers,ind,0.004
Belize,Clean energy installed capacity,ind,0.16
Belize,Growth rate of installed capacity,ind,0.0
Belize,Clean energy electricity generation,ind,0.16
Belize,Growth rate of electricity generation,ind,0.021
Belize,Biofuels production,ind,0.0
Belize,Growth rate biofuels production,ind,0.0
Belize,Average electricity spot prices,ind,0.0
Belize,Average retail electricity prices,ind,0.076
Belize,Average residential electricity prices,ind,0.0
Belize,Average commercial electricity prices,ind,0.0
Belize,Average industrial electricity prices,ind,0.0
Belize,Average kerosene prices,ind,0.0
Belize,Average diesel prices,ind,0.0
Belize,Growth rate of power demand,ind,0.0
Belize,Electrification rate,ind,0.002
Belize,Population using solid fuels for cooking,ind,0.0
Belize,Financing and Investments,param,0.674
Belize,Clean energy investments,ind,0.124
Belize,Growth rate of clean energy investments,ind,0.0
Belize,Asset finance investments,ind,0.0
Belize,Corporate finance investments,ind,0.0
Belize,VC/PE investments,ind,0.0
Belize,"Loans, grants, grant programs",ind,0.0
Belize,Local investments,ind,0.0
Belize,Number of Green MFI,ind,0.0
Belize,Green micro-loans,ind,0.0
Belize,Green micro-borrowers,ind,0.0
Belize,Average cost of green micro debt,ind,0.0
Belize,Average cost of debt,ind,0.047
Belize,Swap rate,ind,0.032
Belize,Value chains,param,0.632
Belize,Financial institutions in clean energy,ind,0.075
Belize,Value chains by clean energy sector,ind,0.02
Belize,Distributed clean energy value chains by sector,ind,0.0
Belize,Clean energy service providers,ind,0.0
Belize,Distributed clean energy service providers,ind,0.0
Belize,GHG management,param,1.053
Belize,Carbon offsets historical activity,ind,0.075
Belize,CDM risk,ind,0.0
Belize,Carbon offsets future potential,ind,0.008
Belize,GHG emissions reduction target,ind,0.0
Belize,GHG country registry,ind,0.0
Belize,GHG market-based instruments,ind,0.0
Belize,PMR & NAMA,ind,0.0
Belize,Voluntary GHG reporting by corporates,ind,0.0
Belize,Investor pressure – PRI signatories,ind,0.0
Belize,Corporate energy efficiency initiatives,ind,0.0
Belize,Corporate emission reduction policies,ind,0.0
Belize,Capacity building – env. business training,ind,0.038
Belize,Capacity building – think tanks,ind,0.038
DR Congo,Score,score,0.757
DR Congo,Enabling framework,param,0.799
DR Congo,Clean energy policies,ind,0.015
DR Congo,Power sector structure,ind,0.02
DR Congo,Distributed energy regulatory framework,ind,0.036
DR Congo,Clean energy rural electrification,ind,0.04
DR Congo,Energy access policies,ind,0.034
DR Congo,Policy barriers,ind,0.005
DR Congo,Clean energy installed capacity,ind,0.013
DR Congo,Growth rate of installed capacity,ind,0.0
DR Congo,Clean energy electricity generation,ind,0.008
DR Congo,Growth rate of electricity generation,ind,0.0
DR Congo,Biofuels production,ind,0.0
DR Congo,Growth rate biofuels production,ind,0.0
DR Congo,Average electricity spot prices,ind,0.0
DR Congo,Average retail electricity prices,ind,0.016
DR Congo,Average residential electricity prices,ind,0.0
DR Congo,Average commercial electricity prices,ind,0.0
DR Congo,Average industrial electricity prices,ind,0.0
DR Congo,Average kerosene prices,ind,0.038
DR Congo,Average diesel prices,ind,0.04
DR Congo,Growth rate of power demand,ind,0.0
DR Congo,Electrification rate,ind,0.038
DR Congo,Population using solid fuels for cooking,ind,0.019
DR Congo,Financing and Investments,param,0.664
DR Congo,Clean energy investments,ind,0.008
DR Congo,Growth rate of clean energy investments,ind,0.085
DR Congo,Asset finance investments,ind,0.0
DR Congo,Corporate finance investments,ind,0.0
DR Congo,VC/PE investments,ind,0.0
DR Congo,"Loans, grants, grant programs",ind,0.0
DR Congo,Local investments,ind,0.0
DR Congo,Number of Green MFI,ind,0.0
DR Congo,Green micro-loans,ind,0.0
DR Congo,Green micro-borrowers,ind,0.0
DR Congo,Average cost of green micro debt,ind,0.05
DR Congo,Average cost of debt,ind,0.056
DR Congo,Swap rate,ind,0.0
DR Congo,Value chains,param,1.317
DR Congo,Financial institutions in clean energy,ind,0.06
DR Congo,Value chains by clean energy sector,ind,0.02
DR Congo,Distributed clean energy value chains by sector,ind,0.075
DR Congo,Clean energy service providers,ind,0.0
DR Congo,Distributed clean energy service providers,ind,0.043
DR Congo,GHG management,param,0.905
DR Congo,Carbon offsets historical activity,ind,0.038
DR Congo,CDM risk,ind,0.062
DR Congo,Carbon offsets future potential,ind,0.036
DR Congo,GHG emissions reduction target,ind,0.0
DR Congo,GHG country registry,ind,0.0
DR Congo,GHG market-based instruments,ind,0.0
DR Congo,PMR & NAMA,ind,0.0
DR Congo,Voluntary GHG reporting by corporates,ind,0.0
DR Congo,Investor pressure – PRI signatories,ind,0.0
DR Congo,Corporate energy efficiency initiatives,ind,0.0
DR Congo,Corporate emission reduction policies,ind,0.0
DR Congo,Capacity building – env. business training,ind,0.0
DR Congo,Capacity building – think tanks,ind,0.0
Côte d'Ivoire,Score,score,0.686
Côte d'Ivoire,Enabling framework,param,1.061
Côte d'Ivoire,Clean energy policies,ind,0.031
Côte d'Ivoire,Power sector structure,ind,0.114
Côte d'Ivoire,Distributed energy regulatory framework,ind,0.053
Côte d'Ivoire,Clean energy rural electrification,ind,0.04
Côte d'Ivoire,Energy access policies,ind,0.049
Côte d'Ivoire,Policy barriers,ind,0.004
Côte d'Ivoire,Clean energy installed capacity,ind,0.007
Côte d'Ivoire,Growth rate of installed capacity,ind,0.0
Côte d'Ivoire,Clean energy electricity generation,ind,0.004
Côte d'Ivoire,Growth rate of electricity generation,ind,0.012
Côte d'Ivoire,Biofuels production,ind,0.0
Côte d'Ivoire,Growth rate biofuels production,ind,0.0
Côte d'Ivoire,Average electricity spot prices,ind,0.0
Côte d'Ivoire,Average retail electricity prices,ind,0.026
Côte d'Ivoire,Average residential electricity prices,ind,0.0
Côte d'Ivoire,Average commercial electricity prices,ind,0.0
Côte d'Ivoire,Average industrial electricity prices,ind,0.0
Côte d'Ivoire,Average kerosene prices,ind,0.029
Côte d'Ivoire,Average diesel prices,ind,0.018
Côte d'Ivoire,Growth rate of power demand,ind,0.018
Côte d'Ivoire,Electrification rate,ind,0.003
Côte d'Ivoire,Population using solid fuels for cooking,ind,0.016
Côte d'Ivoire,Financing and Investments,param,0.045
Côte d'Ivoire,Clean energy investments,ind,0.005
Côte d'Ivoire,Growth rate of clean energy investments,ind,0.0
Côte d'Ivoire,Asset finance investments,ind,0.0
Côte d'Ivoire,Corporate finance investments,ind,0.0
Côte d'Ivoire,VC/PE investments,ind,0.0
Côte d'Ivoire,"Loans, grants, grant programs",ind,0.0
Côte d'Ivoire,Local investments,ind,0.0
Côte d'Ivoire,Number of Green MFI,ind,0.001
Côte d'Ivoire,Green micro-loans,ind,0.0
Côte d'Ivoire,Green micro-borrowers,ind,0.0
Côte d'Ivoire,Average cost of green micro debt,ind,0.007
Côte d'Ivoire,Average cost of debt,ind,0.0
Côte d'Ivoire,Swap rate,ind,0.0
Côte d'Ivoire,Value chains,param,1.242
Côte d'Ivoire,Financial institutions in clean energy,ind,0.03
Côte d'Ivoire,Value chains by clean energy sector,ind,0.039
Côte d'Ivoire,Distributed clean energy value chains by sector,ind,0.0
Côte d'Ivoire,Clean energy service providers,ind,0.052
Côte d'Ivoire,Distributed clean energy service providers,ind,0.064
Côte d'Ivoire,GHG management,param,0.419
Côte d'Ivoire,Carbon offsets historical activity,ind,0.038
Côte d'Ivoire,CDM risk,ind,0.012
Côte d'Ivoire,Carbon offsets future potential,ind,0.013
Côte d'Ivoire,GHG emissions reduction target,ind,0.0
Côte d'Ivoire,GHG country registry,ind,0.0
Côte d'Ivoire,GHG market-based instruments,ind,0.0
Côte d'Ivoire,PMR & NAMA,ind,0.0
Côte d'Ivoire,Voluntary GHG reporting by corporates,ind,0.0
Côte d'Ivoire,Investor pressure – PRI signatories,ind,0.0
Côte d'Ivoire,Corporate energy efficiency initiatives,ind,0.0
Côte d'Ivoire,Corporate emission reduction policies,ind,0.0
Côte d'Ivoire,Capacity building – env. business training,ind,0.0
Côte d'Ivoire,Capacity building – think tanks,ind,0.0
Chile,Score,score,1.788
Chile,Enabling framework,param,1.384
Chile,Clean energy policies,ind,0.161
Chile,Power sector structure,ind,0.188
Chile,Distributed energy regulatory framework,ind,0.0
Chile,Clean energy rural electrification,ind,0.04
Chile,Energy access policies,ind,0.0
Chile,Policy barriers,ind,0.005
Chile,Clean energy installed capacity,ind,0.024
Chile,Growth rate of installed capacity,ind,0.0
Chile,Clean energy electricity generation,ind,0.016
Chile,Growth rate of electricity generation,ind,0.032
Chile,Biofuels production,ind,0.0
Chile,Growth rate biofuels production,ind,0.0
Chile,Average electricity spot prices,ind,0.043
Chile,Average retail electricity prices,ind,0.027
Chile,Average residential electricity prices,ind,0.0
Chile,Average commercial electricity prices,ind,0.0
Chile,Average industrial electricity prices,ind,0.0
Chile,Average kerosene prices,ind,0.0
Chile,Average diesel prices,ind,0.0
Chile,Growth rate of power demand,ind,0.016
Chile,Electrification rate,ind,0.002
Chile,Population using solid fuels for cooking,ind,0.0
Chile,Financing and Investments,param,0.791
Chile,Clean energy investments,ind,0.028
Chile,Growth rate of clean energy investments,ind,0.071
Chile,Asset finance investments,ind,0.0
Chile,Corporate finance investments,ind,0.0
Chile,VC/PE investments,ind,0.0
Chile,"Loans, grants, grant programs",ind,0.001
Chile,Local investments,ind,0.004
Chile,Number of Green MFI,ind,0.0
Chile,Green micro-loans,ind,0.0
Chile,Green micro-borrowers,ind,0.0
Chile,Average cost of green micro debt,ind,0.0
Chile,Average cost of debt,ind,0.058
Chile,Swap rate,ind,0.076
Chile,Value chains,param,3.184
Chile,Financial institutions in clean energy,ind,0.188
